NDE Bearing Temperature Value in c_mean;NDE Bearing Temperature Value in c_sd;NDE Bearing Temperature Value in c_range;NDE Bearing Temperature Value in c_skew;NDE Bearing Temperature Value in c_kurt;NDE Bearing Temperature Value in c_max;NDE Bearing Temperature Value in c_min;NDE Bearing Temperature Value in c_q95;NDE Bearing Temperature Value in c_q90;NDE Bearing Temperature Value in c_q80;DE Bearing TemperatureValue in c_mean;DE Bearing TemperatureValue in c_sd;DE Bearing TemperatureValue in c_range;DE Bearing TemperatureValue in c_skew;DE Bearing TemperatureValue in c_kurt;DE Bearing TemperatureValue in c_max;DE Bearing TemperatureValue in c_min;DE Bearing TemperatureValue in c_q95;DE Bearing TemperatureValue in c_q90;DE Bearing TemperatureValue in c_q80;NDE X-Vibration Value_mean;NDE X-Vibration Value_sd;NDE X-Vibration Value_range;NDE X-Vibration Value_skew;NDE X-Vibration Value_kurt;NDE X-Vibration Value_max;NDE X-Vibration Value_min;NDE X-Vibration Value_q95;NDE X-Vibration Value_q90;NDE X-Vibration Value_q80;NDE Y-Vibration Value_mean;NDE Y-Vibration Value_sd;NDE Y-Vibration Value_range;NDE Y-Vibration Value_skew;NDE Y-Vibration Value_kurt;NDE Y-Vibration Value_max;NDE Y-Vibration Value_min;NDE Y-Vibration Value_q95;NDE Y-Vibration Value_q90;NDE Y-Vibration Value_q80;DE X-Vibration Value_mean;DE X-Vibration Value_sd;DE X-Vibration Value_range;DE X-Vibration Value_skew;DE X-Vibration Value_kurt;DE X-Vibration Value_max;DE X-Vibration Value_min;DE X-Vibration Value_q95;DE X-Vibration Value_q90;DE X-Vibration Value_q80;DE Y-Vibration Value_mean;DE Y-Vibration Value_sd;DE Y-Vibration Value_range;DE Y-Vibration Value_skew;DE Y-Vibration Value_kurt;DE Y-Vibration Value_max;DE Y-Vibration Value_min;DE Y-Vibration Value_q95;DE Y-Vibration Value_q90;DE Y-Vibration Value_q80;Fault_lag
43.1331838;3.069422692;11.19995117;0.703931281;-0.49635806;49.99694824;38.79699707;49.09667969;48.40759277;46.29821777;49.09416707;2.450385903;8.499145508;0.038715184;-0.965213559;53.39660645;44.89746094;53.09753418;52.69775391;51.61621094;1.175947835;0.643845287;4.246520996;1.497049614;3.256194485;4.276275635;0.029754639;2.434234619;2.141113281;1.525115967;1.12883155;0.663643595;4.36630249;2.447221227;8.278060411;4.396057129;0.029754639;2.106666565;1.758499146;1.405334473;1.079463252;0.571610805;4.36630249;2.135357699;8.066954259;4.396057129;0.029754639;2.021331787;1.763916016;1.345825195;1.449520136;1.054549616;6.938171387;1.899353758;6.660381752;6.967926025;0.029754639;3.020477295;2.338256836;2.051086426;TRUE
43.25965881;2.914875729;11.09924316;0.891778025;-0.424073904;49.99694824;38.89770508;49.09667969;48.40759277;46.29821777;49.2029775;2.286790355;8.499145508;0.243769572;-1.083915775;53.39660645;44.89746094;53.09753418;52.69775391;51.61621094;1.175947835;0.643845287;4.246520996;1.497049614;3.256194485;4.276275635;0.029754639;2.434234619;2.141113281;1.525115967;1.137095286;0.659229475;4.36630249;2.512717536;8.485238781;4.396057129;0.029754639;2.117156982;1.770477295;1.405334473;1.095024625;0.561518832;4.36630249;2.297467345;8.6300187;4.396057129;0.029754639;2.027282715;1.763916016;1.345825195;1.449131186;1.055062097;6.938171387;1.895773382;6.647794156;6.967926025;0.029754639;3.020477295;2.338256836;2.051086426;FALSE
42.85983276;3.014791416;10.69946289;1.0236443;-0.169280673;49.99694824;39.29748535;49.09667969;48.40759277;45.59631348;48.94443766;2.478530145;8.30078125;0.244544285;-1.169924872;53.39660645;45.0958252;53.09753418;52.69775391;51.61621094;1.131754557;0.580571453;2.661895752;0.899548391;0.13652889;2.691650391;0.029754639;2.431259155;1.985778809;1.525115967;1.03692627;0.488557911;3.050231934;1.671204169;4.331467195;3.079986572;0.029754639;1.88369751;1.525115967;1.345825195;1.009547246;0.484794545;2.542114258;0.907914952;1.148445341;2.571868896;0.029754639;1.955871582;1.698455811;1.285552979;1.206086811;0.878498769;4.724884033;0.917187377;2.340716274;4.754638672;0.029754639;2.469863892;2.081298828;1.88369751;FALSE
41.94718424;2.564918462;11.09924316;1.45817313;1.846443103;49.99694824;38.89770508;48.00292969;45.59631348;43.31787109;48.23798116;2.50682547;8.700561523;0.483887983;-0.811113508;53.39660645;44.69604492;53.09753418;52.29797363;50.59814453;1.228540594;0.976892036;3.319549561;1.025088745;-0.636041444;3.349304199;0.029754639;2.949752808;2.739181519;2.51159668;1.283021407;1.07491704;4.007720947;1.366314811;0.442377499;4.037475586;0.029754639;3.343315125;3.190689087;2.147064209;1.097551982;0.933417757;3.289794922;1.192656083;0.156521209;3.319549561;0.029754639;2.968292236;2.78717041;1.847839355;0.968170166;1.391307691;5.861663818;1.990780434;3.467059235;5.891418457;0.029754639;4.44568634;2.778244019;1.136016846;FALSE
41.61651103;1.897735037;7.998657227;0.822616797;0.197378982;46.8963623;38.89770508;45.40283203;44.39697266;43.09692383;47.70800273;1.970391917;7.601928711;0.3606192;-0.740030876;52.29797363;44.69604492;51.39770508;50.59814453;49.39575195;1.178819993;0.611091784;3.319549561;1.366016194;2.365788758;3.349304199;0.029754639;2.589454651;1.770095825;1.375579834;1.188409151;0.691028346;3.649139404;2.014958354;4.758393052;4.037475586;0.388336182;2.679595947;1.799926758;1.405334473;1.0609872;0.585618896;3.289794922;1.800395554;4.507727063;3.319549561;0.029754639;2.351799011;1.537094116;1.226043701;1.399798726;1.126234672;5.861663818;1.156599741;2.404938615;5.891418457;0.029754639;3.34186554;2.28767395;2.123260498;FALSE
41.96533712;2.559069022;9.698486328;1.215019352;0.526158266;48.59619141;38.89770508;47.89733887;46.8963623;43.09692383;47.54083252;1.698181982;5.902099609;-0.043221336;-1.222243126;50.59814453;44.69604492;50.09765625;49.80560303;49.2980957;1.21339813;0.523046493;2.900695801;1.092721653;2.269991049;3.349304199;0.448608398;2.033233643;1.716308594;1.483306885;1.174320011;0.570434422;3.649139404;1.962328632;6.304505093;4.037475586;0.388336182;2.140884399;1.746063232;1.399383545;1.073585924;0.472748276;3.289794922;1.892357684;6.433183754;3.319549561;0.029754639;1.782226563;1.531066895;1.226043701;1.577210762;0.931119814;5.861663818;0.946258185;3.239640523;5.891418457;0.029754639;2.86945343;2.299575806;2.123260498;FALSE
42.54995728;3.254029187;10.19897461;0.909566332;-0.71849575;49.09667969;38.89770508;48.69689941;48.29711914;46.8963623;47.56915283;1.736824657;5.700683594;0.001167745;-1.212047539;50.39672852;44.69604492;50.29602051;50.09765625;49.2980957;1.173127526;0.508489248;2.900695801;0.973731269;1.814611808;3.349304199;0.448608398;2.024307251;1.704406738;1.435089111;1.119685046;0.531149788;3.649139404;1.989919934;6.859651779;4.037475586;0.388336182;1.874771118;1.626586914;1.375579834;1.041533455;0.434010839;3.289794922;1.872836169;6.886550435;3.319549561;0.029754639;1.716308594;1.46484375;1.226043701;1.555610883;0.845195192;5.861663818;1.088689526;4.082414094;5.891418457;0.029754639;2.68863678;2.269821167;2.093505859;FALSE
43.22161865;3.736306121;10.19897461;0.514838028;-1.489225834;49.09667969;38.89770508;48.80264282;48.69689941;48.29711914;47.69599406;1.8743759;5.700683594;0.043076626;-1.3418029;50.39672852;44.69604492;50.29602051;50.29602051;50.09765625;1.176860361;0.506436354;2.900695801;0.811903987;1.155794811;3.349304199;0.448608398;2.033233643;1.746063232;1.495361328;1.113162639;0.515902869;3.649139404;1.863863876;6.200275743;4.037475586;0.388336182;1.946716309;1.6746521;1.369628906;1.045371059;0.42051646;3.289794922;1.668187096;5.894909887;3.319549561;0.029754639;1.75201416;1.525115967;1.226043701;1.594013229;0.798169029;5.861663818;1.175766248;4.237411104;5.891418457;0.029754639;2.706604004;2.332305908;2.093505859;FALSE
43.9405721;4.025653431;10.19897461;0.135327365;-1.816796994;49.09667969;38.89770508;48.89831543;48.79760742;48.59619141;47.8780365;1.998792672;5.700683594;-0.081129188;-1.551335533;50.39672852;44.69604492;50.29602051;50.29602051;50.19836426;1.214992262;0.486998712;2.900695801;0.611119012;0.943457409;3.349304199;0.448608398;2.033233643;1.794433594;1.548919678;1.135785727;0.481661525;3.649139404;1.7478756;6.520312892;4.037475586;0.388336182;1.874771118;1.626586914;1.375579834;1.075576733;0.403217317;3.289794922;1.430678544;5.290873772;3.319549561;0.029754639;1.734161377;1.554870605;1.25579834;1.662154425;0.729715968;5.861663818;1.189772771;4.880331221;5.891418457;0.029754639;2.691650391;2.332305908;2.093505859;FALSE
44.67652384;4.127577183;10.40039063;-0.231603901;-1.79430579;49.2980957;38.89770508;49.09667969;48.90808105;48.79760742;48.08216349;2.056597831;5.700683594;-0.31316361;-1.591277959;50.39672852;44.69604492;50.29602051;50.29602051;50.19836426;1.242235217;0.471779622;2.900695801;0.48202478;0.913554958;3.349304199;0.448608398;2.003479004;1.794433594;1.584625244;1.149833547;0.46131482;3.649139404;1.696875404;6.859876568;4.037475586;0.388336182;1.846504211;1.614379883;1.375579834;1.095079005;0.390139452;3.289794922;1.312203116;5.195702126;3.319549561;0.029754639;1.723747253;1.554870605;1.315307617;1.711446389;0.670771365;5.861663818;1.442633244;5.967566697;5.891418457;0.029754639;2.650718689;2.3412323;2.093505859;FALSE
